timestamp,percent,status,plugged_in,seconds_left,power_watts,kb_count,mouse_count,net_sent_mb,net_recv_mb
2026-05-22 16:41:55,56,discharging,False,10744,0,,,0,0
2026-05-22 16:42:07,56,discharging,False,11715,0,46,2719,0,0
2026-05-22 16:42:55,56,discharging,False,9538,0,,,0,0
2026-05-22 16:43:03,56,discharging,False,14211,0,0,0,0,0
2026-05-22 16:46:21,55,discharging,False,14161,0,0,0,0,0
2026-05-22 16:46:39,55,discharging,False,14051,0,0,0,0,0
2026-05-22 16:47:21,54,discharging,False,13281,0,0,1274,0,0
2026-05-22 16:47:39,54,discharging,False,11256,0,0,1678,0,0
2026-05-22 16:48:21,54,discharging,False,7238,0,3,1868,0,0
2026-05-22 16:48:39,54,discharging,False,9808,0,5,1767,0,0
2026-05-22 16:49:39,54,discharging,False,14164,0,0,667,0,0
2026-05-22 16:50:39,53,discharging,False,14377,0,0,0,0,0
2026-05-22 16:51:39,53,discharging,False,7643,0,1,1353,0,0
2026-05-22 16:52:39,53,discharging,False,11505,0,7,2156,0,0
2026-05-22 16:53:39,53,discharging,False,11071,0,193,898,0,0
2026-05-22 16:54:39,52,discharging,False,8440,0,1,2337,0,0
2026-05-22 16:55:39,52,discharging,False,10112,0,0,0,0,0
2026-05-22 16:56:39,52,discharging,False,7971,0,28,1637,0,0
2026-05-22 16:57:39,51,discharging,False,7620,0,9,1421,0,0
2026-05-22 16:58:16,51,discharging,False,13404,0,0,0,0,0
2026-05-22 16:59:16,51,discharging,False,12296,0,6,2076,0,0
2026-05-22 17:00:16,51,discharging,False,12217,0,3,2361,0,0
2026-05-22 17:01:16,50,discharging,False,10458,0,1,1836,0,0
2026-05-22 17:02:16,50,discharging,False,12613,0,1,2570,0,0
2026-05-22 17:03:16,50,discharging,False,8285,0,1,2655,0,0
2026-05-22 17:04:16,49,discharging,False,7739,0,4,2966,0,0
2026-05-22 17:05:16,49,discharging,False,7601,0,14,2629,0,0
2026-05-22 17:06:16,49,discharging,False,9201,0,0,2460,0,0
2026-05-22 17:07:16,49,discharging,False,10105,0,0,1949,0,0
2026-05-22 17:08:16,48,discharging,False,10552,0,0,1261,0,0
2026-05-22 17:09:16,48,discharging,False,9855,0,0,469,0,0
2026-05-22 17:10:16,48,discharging,False,5945,0,0,2622,0,0
2026-05-22 17:11:16,47,discharging,False,9516,0,79,2075,0,0
2026-05-22 17:12:16,47,discharging,False,10015,0,3,2316,0,0
2026-05-22 17:13:16,47,discharging,False,8062,0,10,2432,0,0
2026-05-22 17:14:16,46,discharging,False,9244,0,5,1577,0,0
2026-05-22 17:15:16,46,discharging,False,7631,0,11,2708,0,0
2026-05-22 17:16:16,46,discharging,False,9473,0,21,2446,0,0
2026-05-22 17:17:16,45,discharging,False,8296,0,2,2248,0,0
2026-05-22 17:18:16,45,discharging,False,9071,0,2,2342,0,0
2026-05-22 17:19:16,45,discharging,False,8582,0,7,2019,0,0
2026-05-22 17:20:16,44,discharging,False,8748,0,10,2116,0,0
2026-05-22 17:21:16,44,discharging,False,9084,0,12,1869,0,0
2026-05-22 17:22:16,44,discharging,False,7932,0,7,864,0,0
2026-05-22 17:23:16,43,discharging,False,6504,0,1,2128,0,0
2026-05-22 17:24:16,43,discharging,False,7561,0,45,2309,0,0
2026-05-22 17:25:16,42,discharging,False,5951,0,0,3974,0,0
2026-05-22 17:26:16,42,discharging,False,4133,0,0,3910,0,0
2026-05-22 17:27:16,41,discharging,False,3907,0,0,2179,0,0
2026-05-22 17:28:16,41,charging,True,-1,0,0,983,0,0
2026-05-22 17:29:16,42,charging,True,-1,0,0,597,0,0
2026-05-22 17:30:16,43,charging,True,-1,0,72,979,0,0
2026-05-22 17:31:16,43,charging,True,-1,0,7,2309,0,0
2026-05-22 17:32:16,44,charging,True,-1,0,16,1721,0,0
2026-05-22 17:33:16,45,charging,True,-1,0,11,2775,0,0
2026-05-22 17:34:16,46,charging,True,-1,0,64,1246,0,0
2026-05-22 17:35:16,47,charging,True,-1,0,5,2331,0,0
2026-05-22 17:36:16,48,charging,True,-1,0,52,1879,0,0
2026-05-22 17:37:16,49,charging,True,-1,0,35,1145,0,0
2026-05-22 17:38:16,49,charging,True,-1,0,4,2993,0,0
2026-05-22 17:39:16,50,charging,True,-1,0,85,2639,0,0
2026-05-22 17:40:16,51,charging,True,-1,0,148,176,0,0
2026-05-22 17:41:16,52,charging,True,-1,0,14,401,0,0
2026-05-22 17:42:16,53,charging,True,-1,0,5,1629,0,0
2026-05-22 17:43:16,54,charging,True,-1,0,8,1886,0,0
2026-05-22 17:44:16,54,charging,True,-1,0,45,1080,0,0
2026-05-22 17:45:16,55,charging,True,-1,0,50,662,0,0
2026-05-22 17:46:16,56,charging,True,-1,0,56,800,0,0
2026-05-22 17:47:16,57,charging,True,-1,0,12,2026,0,0
2026-05-22 17:48:16,58,charging,True,-1,0,22,2399,0,0
2026-05-22 17:49:16,59,charging,True,-1,0,10,2797,0,0
2026-05-22 17:50:16,60,charging,True,-1,0,5,2662,0,0
2026-05-22 17:51:16,61,charging,True,-1,0,0,1763,0,0
2026-05-22 17:52:16,61,charging,True,-1,0,69,1532,0,0
2026-05-22 17:53:16,62,charging,True,-1,0,17,2559,0,0
2026-05-22 17:54:16,63,charging,True,-1,0,13,3346,0,0
2026-05-22 17:55:16,64,charging,True,-1,0,0,1889,0,0
2026-05-22 17:56:16,65,charging,True,-1,0,47,1606,0,0
2026-05-22 17:57:16,66,charging,True,-1,0,8,1816,0,0
2026-05-22 17:58:16,66,charging,True,-1,0,48,1867,0,0
2026-05-22 17:59:16,67,charging,True,-1,0,18,1734,0,0
2026-05-22 18:00:16,68,discharging,False,4294967295,0,0,2498,0,0
2026-05-22 18:01:16,68,charging,True,-1,0,0,947,0,0
2026-05-22 18:02:16,69,charging,True,-1,0,0,1566,0,0
2026-05-22 18:03:16,70,charging,True,-1,0,13,2544,0,0
2026-05-22 18:04:16,70,charging,True,-1,0,1,3000,0,0
2026-05-22 18:05:16,71,charging,True,-1,0,26,2372,0,0
2026-05-22 18:06:16,72,charging,True,-1,0,58,1982,0,0
2026-05-22 18:07:16,73,charging,True,-1,0,84,1573,0,0
2026-05-22 18:08:16,74,charging,True,-1,0,8,2661,0,0
2026-05-22 18:09:16,75,charging,True,-1,0,5,2811,0,0
2026-05-22 18:09:40,75,charging,True,-1,0,0,0,0.0,0.0
2026-05-22 18:10:16,76,charging,True,-1,0,8,1849
2026-05-22 18:10:40,76,charging,True,-1,0,11,1893,0.26,7.1
2026-05-22 18:11:16,76,charging,True,-1,0,52,1717
2026-05-22 18:11:40,77,charging,True,-1,0,125,484,0.55,8.06
2026-05-22 18:12:16,77,charging,True,-1,0,100,720
2026-05-22 18:12:40,78,charging,True,-1,0,70,1308,0.5,7.69
2026-05-22 18:13:09,78,charging,True,-1,0,0,0,0.0,0.0
2026-05-22 18:14:09,79,charging,True,-1,0,101,912,0.83,8.45
2026-05-22 18:15:09,80,charging,True,-1,0,119,1285,0.64,10.89
2026-05-23 13:56:01,82,charging,True,-1,0,0,0,0.0,0.0
2026-05-23 13:57:01,82,charging,True,-1,0,0,0,1.12,2.35
2026-05-23 13:58:01,83,charging,True,-1,0,0,0,0.39,0.91
2026-05-23 13:59:01,84,charging,True,-1,0,20,1141,1.13,7.55
2026-05-23 14:00:01,85,charging,True,-1,0,24,1298,1.93,52.18
2026-05-23 14:01:01,85,charging,True,-1,0,4,2183,1.19,10.55
2026-05-23 14:02:01,86,charging,True,-1,0,5,1753,0.92,17.36
2026-05-23 14:03:01,87,charging,True,-1,0,6,1593,0.43,4.54
2026-05-23 14:04:01,87,charging,True,-1,0,1,1241,0.45,5.95
2026-05-23 14:05:01,88,charging,True,-1,0,1,1704,0.55,6.89
2026-05-23 14:06:01,88,charging,True,-1,0,32,1956,0.52,4.8
2026-05-23 14:07:01,89,charging,True,-1,0,0,1305,0.47,1.68
2026-05-23 14:08:01,90,charging,True,-1,0,195,473,0.15,0.11
2026-05-23 14:09:01,90,charging,True,-1,0,5,625,0.2,0.15
2026-05-23 14:10:02,91,charging,True,-1,0,0,0,0.26,0.73
2026-05-23 14:11:02,91,charging,True,-1,0,0,0,0.53,0.59
2026-05-23 14:12:02,92,charging,True,-1,0,0,0,0.06,0.07
2026-05-23 14:13:02,92,charging,True,-1,0,0,0,0.06,0.1
2026-05-23 14:14:02,92,charging,True,-1,0,0,0,0.74,0.12
2026-05-23 14:15:02,93,charging,True,-1,0,0,0,0.21,0.11
2026-05-23 14:16:02,93,charging,True,-1,0,0,0,0.27,0.13
2026-05-23 14:17:02,94,charging,True,-1,0,0,0,0.08,0.11
